,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,शनिवार 1 जनवरी,1 जनवरी,1640995200000.0,00.00,"शनिवार 1 जनवरी 2022, 00.00 — 06.00",14,Fog.,11,8,1023,0,0,92,1,2022
1,uk,uk,uk,1641016800000.0,06.00,"शनिवार 1 जनवरी 2022, 06.00 — 12.00",9,Fog.,18,9,1024,0,0,68,1,2022
2,uk,uk,uk,1641038400000.0,12.00,"शनिवार 1 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,21,17,1020,0,0,52,1,2022
3,uk,uk,uk,1641060000000.0,18.00,"शनिवार 1 जनवरी 2022, 18.00 — 00.00",14,Fog.,11,10,1022,0,0,87,1,2022
4,True,रविवार 2 जनवरी,2 जनवरी,1641081600000.0,00.00,"रविवार 2 जनवरी 2022, 00.00 — 06.00",14,Fog.,8,7,1021,0,0,90,1,2022
5,uk,uk,uk,1641103200000.0,06.00,"रविवार 2 जनवरी 2022, 06.00 — 12.00",1,Sunny.,16,16,1022,0,0,52,1,2022
6,uk,uk,uk,1641124800000.0,12.00,"रविवार 2 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,21,18,1018,0,0,54,1,2022
7,uk,uk,uk,1641146400000.0,18.00,"रविवार 2 जनवरी 2022, 18.00 — 00.00",14,Fog.,12,10,1021,0,0,86,1,2022
8,True,सोमवार 3 जनवरी,3 जनवरी,1641168000000.0,00.00,"सोमवार 3 जनवरी 2022, 00.00 — 06.00",14,Fog.,8,7,1019,0,0,92,1,2022
9,uk,uk,uk,1641189600000.0,06.00,"सोमवार 3 जनवरी 2022, 06.00 — 12.00",9,Fog.,8,8,1020,0,0,96,1,2022
10,uk,uk,uk,1641211200000.0,12.00,"सोमवार 3 जनवरी 2022, 12.00 — 18.00",9,Fog.,22,19,1017,0,0,49,1,2022
11,uk,uk,uk,1641232800000.0,18.00,"सोमवार 3 जनवरी 2022, 18.00 — 00.00",14,Fog.,12,11,1019,0,0,89,1,2022
12,True,मंगलवार 4 जनवरी,4 जनवरी,1641254400000.0,00.00,"मंगलवार 4 जनवरी 2022, 00.00 — 06.00",14,Fog.,10,8,1018,0,0,92,1,2022
13,uk,uk,uk,1641276000000.0,06.00,"मंगलवार 4 जनवरी 2022, 06.00 — 12.00",9,Fog.,21,9,1019,0,0,69,1,2022
14,uk,uk,uk,1641297600000.0,12.00,"मंगलवार 4 जनवरी 2022, 12.00 — 18.00",1,Sunny.,24,24,1016,0,0,36,1,2022
15,uk,uk,uk,1641319200000.0,18.00,"मंगलवार 4 जनवरी 2022, 18.00 — 00.00",14,Fog.,15,14,1018,0,0,77,1,2022
16,True,बुधवार 5 जनवरी,5 जनवरी,1641340800000.0,00.00,"बुधवार 5 जनवरी 2022, 00.00 — 06.00",14,Fog.,11,11,1017,0,0,92,1,2022
17,uk,uk,uk,1641362400000.0,06.00,"बुधवार 5 जनवरी 2022, 06.00 — 12.00",9,Fog.,13,13,1018,0,0,88,1,2022
18,uk,uk,uk,1641384000000.0,12.00,"बुधवार 5 जनवरी 2022, 12.00 — 18.00",7,Overcast.,19,17,1015,2,0,75,1,2022
19,uk,uk,uk,1641405600000.0,18.00,"बुधवार 5 जनवरी 2022, 18.00 — 00.00",14,Fog.,15,15,1016,0,0,91,1,2022
20,True,गुरुवार 6 जनवरी,6 जनवरी,1641427200000.0,00.00,"गुरुवार 6 जनवरी 2022, 00.00 — 06.00",14,Fog.,15,14,1016,2,50,91,1,2022
21,uk,uk,uk,1641448800000.0,06.00,"गुरुवार 6 जनवरी 2022, 06.00 — 12.00",9,Fog.,14,13,1018,2,50,96,1,2022
22,uk,uk,uk,1641470400000.0,12.00,"गुरुवार 6 जनवरी 2022, 12.00 — 18.00",18,Light rain. Overcast.,14,14,1016,0,0,96,1,2022
23,uk,uk,uk,1641492000000.0,18.00,"गुरुवार 6 जनवरी 2022, 18.00 — 00.00",14,Fog.,14,14,1017,2,90,98,1,2022
24,True,शुक्रवार 7 जनवरी,7 जनवरी,1641513600000.0,00.00,"शुक्रवार 7 जनवरी 2022, 00.00 — 06.00",14,Fog.,15,15,1015,0,0,98,1,2022
25,uk,uk,uk,1641535200000.0,06.00,"शुक्रवार 7 जनवरी 2022, 06.00 — 12.00",9,Fog.,17,17,1018,2,90,94,1,2022
26,uk,uk,uk,1641556800000.0,12.00,"शुक्रवार 7 जनवरी 2022, 12.00 — 18.00",7,Overcast.,19,18,1015,0,0,87,1,2022
27,uk,uk,uk,1641578400000.0,18.00,"शुक्रवार 7 जनवरी 2022, 18.00 — 00.00",14,Passing clouds.,17,17,1017,5,90,93,1,2022
28,True,शनिवार 8 जनवरी,8 जनवरी,1641600000000.0,00.00,"शनिवार 8 जनवरी 2022, 00.00 — 06.00",22,Thunderstorms. Passing clouds.,16,16,1015,2,140,96,1,2022
29,uk,uk,uk,1641621600000.0,06.00,"शनिवार 8 जनवरी 2022, 06.00 — 12.00",2,Scattered clouds.,20,16,1016,5,140,84,1,2022
30,uk,uk,uk,1641643200000.0,12.00,"शनिवार 8 जनवरी 2022, 12.00 — 18.00",7,Overcast.,22,20,1014,2,140,78,1,2022
31,uk,uk,uk,1641664800000.0,18.00,"शनिवार 8 जनवरी 2022, 18.00 — 00.00",34,Light rain. Overcast.,18,17,1015,4,140,91,1,2022
32,True,रविवार 9 जनवरी,9 जनवरी,1641686400000.0,00.00,"रविवार 9 जनवरी 2022, 00.00 — 06.00",14,Fog.,16,16,1014,0,0,92,1,2022
33,uk,uk,uk,1641708000000.0,06.00,"रविवार 9 जनवरी 2022, 06.00 — 12.00",9,Fog.,16,16,1014,0,0,91,1,2022
34,uk,uk,uk,1641729600000.0,12.00,"रविवार 9 जनवरी 2022, 12.00 — 18.00",18,Drizzle. Overcast.,19,17,1013,2,50,88,1,2022
35,uk,uk,uk,1641751200000.0,18.00,"रविवार 9 जनवरी 2022, 18.00 — 00.00",34,Light rain. Overcast.,17,17,1015,0,0,93,1,2022
36,True,सोमवार 10 जनवरी,10 जनवरी,1641772800000.0,00.00,"सोमवार 10 जनवरी 2022, 00.00 — 06.00",14,Fog.,16,13,1015,5,320,91,1,2022
37,uk,uk,uk,1641794400000.0,06.00,"सोमवार 10 जनवरी 2022, 06.00 — 12.00",2,Scattered clouds.,15,13,1019,0,0,82,1,2022
38,uk,uk,uk,1641816000000.0,12.00,"सोमवार 10 जनवरी 2022, 12.00 — 18.00",7,Overcast.,18,16,1017,5,50,75,1,2022
39,uk,uk,uk,1641837600000.0,18.00,"सोमवार 10 जनवरी 2022, 18.00 — 00.00",14,Fog.,13,12,1019,0,0,90,1,2022
40,True,मंगलवार 11 जनवरी,11 जनवरी,1641859200000.0,00.00,"मंगलवार 11 जनवरी 2022, 00.00 — 06.00",14,Fog.,11,11,1018,0,0,92,1,2022
41,uk,uk,uk,1641880800000.0,06.00,"मंगलवार 11 जनवरी 2022, 06.00 — 12.00",9,Fog.,17,11,1020,0,0,78,1,2022
42,uk,uk,uk,1641902400000.0,12.00,"मंगलवार 11 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,19,16,1016,0,0,62,1,2022
43,uk,uk,uk,1641924000000.0,18.00,"मंगलवार 11 जनवरी 2022, 18.00 — 00.00",13,Clear.,12,10,1017,0,0,88,1,2022
44,True,बुधवार 12 जनवरी,12 जनवरी,1641945600000.0,00.00,"बुधवार 12 जनवरी 2022, 00.00 — 06.00",14,Fog.,11,9,1017,3,0,92,1,2022
45,uk,uk,uk,1641967200000.0,06.00,"बुधवार 12 जनवरी 2022, 06.00 — 12.00",9,Fog.,13,10,1020,3,320,86,1,2022
46,uk,uk,uk,1641988800000.0,12.00,"बुधवार 12 जनवरी 2022, 12.00 — 18.00",9,Fog.,17,15,1016,4,320,70,1,2022
47,uk,uk,uk,1642010400000.0,18.00,"बुधवार 12 जनवरी 2022, 18.00 — 00.00",14,Fog.,11,9,1019,0,0,92,1,2022
48,True,गुरुवार 13 जनवरी,13 जनवरी,1642032000000.0,00.00,"गुरुवार 13 जनवरी 2022, 00.00 — 06.00",14,Fog.,9,9,1018,0,0,94,1,2022
49,uk,uk,uk,1642053600000.0,06.00,"गुरुवार 13 जनवरी 2022, 06.00 — 12.00",9,Fog.,15,9,1019,0,0,82,1,2022
50,uk,uk,uk,1642075200000.0,12.00,"गुरुवार 13 जनवरी 2022, 12.00 — 18.00",6,Partly sunny.,18,16,1016,4,50,60,1,2022
51,uk,uk,uk,1642096800000.0,18.00,"गुरुवार 13 जनवरी 2022, 18.00 — 00.00",14,Fog.,12,9,1018,0,0,86,1,2022
52,True,शुक्रवार 14 जनवरी,14 जनवरी,1642118400000.0,00.00,"शुक्रवार 14 जनवरी 2022, 00.00 — 06.00",14,Fog.,9,7,1018,0,0,89,1,2022
53,uk,uk,uk,1642140000000.0,06.00,"शुक्रवार 14 जनवरी 2022, 06.00 — 12.00",9,Fog.,16,7,1020,0,0,74,1,2022
54,uk,uk,uk,1642161600000.0,12.00,"शुक्रवार 14 जनवरी 2022, 12.00 — 18.00",3,Haze.,18,15,1016,4,50,54,1,2022
55,uk,uk,uk,1642183200000.0,18.00,"शुक्रवार 14 जनवरी 2022, 18.00 — 00.00",13,Clear.,11,9,1019,0,0,88,1,2022
56,True,शनिवार 15 जनवरी,15 जनवरी,1642204800000.0,00.00,"शनिवार 15 जनवरी 2022, 00.00 — 06.00",14,Fog.,10,10,1019,0,0,96,1,2022
57,uk,uk,uk,1642226400000.0,06.00,"शनिवार 15 जनवरी 2022, 06.00 — 12.00",9,Fog.,11,10,1021,0,0,90,1,2022
58,uk,uk,uk,1642248000000.0,12.00,"शनिवार 15 जनवरी 2022, 12.00 — 18.00",9,Fog.,13,12,1019,0,0,76,1,2022
59,uk,uk,uk,1642269600000.0,18.00,"शनिवार 15 जनवरी 2022, 18.00 — 00.00",14,Fog.,10,7,1021,0,0,86,1,2022
60,True,रविवार 16 जनवरी,16 जनवरी,1642291200000.0,00.00,"रविवार 16 जनवरी 2022, 00.00 — 06.00",14,Fog.,6,5,1020,0,0,92,1,2022
61,uk,uk,uk,1642312800000.0,06.00,"रविवार 16 जनवरी 2022, 06.00 — 12.00",9,Fog.,11,7,1023,0,0,86,1,2022
62,uk,uk,uk,1642334400000.0,12.00,"रविवार 16 जनवरी 2022, 12.00 — 18.00",9,Fog.,14,13,1020,0,0,68,1,2022
63,uk,uk,uk,1642356000000.0,18.00,"रविवार 16 जनवरी 2022, 18.00 — 00.00",14,Fog.,9,7,1022,0,0,86,1,2022
64,True,सोमवार 17 जनवरी,17 जनवरी,1642377600000.0,00.00,"सोमवार 17 जनवरी 2022, 00.00 — 06.00",14,Fog.,6,6,1021,0,0,92,1,2022
65,uk,uk,uk,1642399200000.0,06.00,"सोमवार 17 जनवरी 2022, 06.00 — 12.00",9,Fog.,11,8,1023,0,0,84,1,2022
66,uk,uk,uk,1642420800000.0,12.00,"सोमवार 17 जनवरी 2022, 12.00 — 18.00",1,Sunny.,14,11,1021,2,50,74,1,2022
67,uk,uk,uk,1642442400000.0,18.00,"सोमवार 17 जनवरी 2022, 18.00 — 00.00",14,Fog.,8,7,1022,0,0,87,1,2022
68,True,मंगलवार 18 जनवरी,18 जनवरी,1642464000000.0,00.00,"मंगलवार 18 जनवरी 2022, 00.00 — 06.00",14,Fog.,6,5,1021,0,0,92,1,2022
69,uk,uk,uk,1642485600000.0,06.00,"मंगलवार 18 जनवरी 2022, 06.00 — 12.00",9,Fog.,9,6,1021,2,230,93,1,2022
70,uk,uk,uk,1642507200000.0,12.00,"मंगलवार 18 जनवरी 2022, 12.00 — 18.00",1,Sunny.,14,13,1018,0,0,72,1,2022
71,uk,uk,uk,1642528800000.0,18.00,"मंगलवार 18 जनवरी 2022, 18.00 — 00.00",14,Fog.,9,8,1019,0,0,92,1,2022
72,True,बुधवार 19 जनवरी,19 जनवरी,1642550400000.0,00.00,"बुधवार 19 जनवरी 2022, 00.00 — 06.00",14,Fog.,8,8,1018,0,0,96,1,2022
73,uk,uk,uk,1642572000000.0,06.00,"बुधवार 19 जनवरी 2022, 06.00 — 12.00",9,Fog.,10,8,1019,0,0,92,1,2022
74,uk,uk,uk,1642593600000.0,12.00,"बुधवार 19 जनवरी 2022, 12.00 — 18.00",9,Fog.,15,12,1015,0,0,76,1,2022
75,uk,uk,uk,1642615200000.0,18.00,"बुधवार 19 जनवरी 2022, 18.00 — 00.00",14,Fog.,11,11,1015,0,0,88,1,2022
76,True,गुरुवार 20 जनवरी,20 जनवरी,1642636800000.0,00.00,"गुरुवार 20 जनवरी 2022, 00.00 — 06.00",14,Fog.,10,9,1013,0,0,94,1,2022
77,uk,uk,uk,1642658400000.0,06.00,"गुरुवार 20 जनवरी 2022, 06.00 — 12.00",9,Fog.,12,9,1014,0,0,88,1,2022
78,uk,uk,uk,1642680000000.0,12.00,"गुरुवार 20 जनवरी 2022, 12.00 — 18.00",6,Partly sunny.,15,14,1015,0,0,82,1,2022
79,uk,uk,uk,1642701600000.0,18.00,"गुरुवार 20 जनवरी 2022, 18.00 — 00.00",14,Fog.,12,11,1012,0,0,90,1,2022
80,True,शुक्रवार 21 जनवरी,21 जनवरी,1642723200000.0,00.00,"शुक्रवार 21 जनवरी 2022, 00.00 — 06.00",14,Fog.,10,10,1011,2,0,95,1,2022
81,uk,uk,uk,1642744800000.0,06.00,"शुक्रवार 21 जनवरी 2022, 06.00 — 12.00",9,Fog.,12,10,1014,0,0,92,1,2022
82,uk,uk,uk,1642766400000.0,12.00,"शुक्रवार 21 जनवरी 2022, 12.00 — 18.00",9,Fog.,16,15,1011,1,90,80,1,2022
83,uk,uk,uk,1642788000000.0,18.00,"शुक्रवार 21 जनवरी 2022, 18.00 — 00.00",14,Fog.,12,11,1012,0,0,92,1,2022
84,True,शनिवार 22 जनवरी,22 जनवरी,1642809600000.0,00.00,"शनिवार 22 जनवरी 2022, 00.00 — 06.00",34,Light rain. Overcast.,12,11,1010,2,140,94,1,2022
85,uk,uk,uk,1642831200000.0,06.00,"शनिवार 22 जनवरी 2022, 06.00 — 12.00",9,Fog.,15,13,1008,0,0,91,1,2022
86,uk,uk,uk,1642852800000.0,12.00,"शनिवार 22 जनवरी 2022, 12.00 — 18.00",9,Fog.,19,17,1005,5,140,75,1,2022
87,uk,uk,uk,1642874400000.0,18.00,"शनिवार 22 जनवरी 2022, 18.00 — 00.00",14,Fog.,15,14,1007,0,0,91,1,2022
88,True,रविवार 23 जनवरी,23 जनवरी,1642896000000.0,00.00,"रविवार 23 जनवरी 2022, 00.00 — 06.00",14,Fog.,13,13,1007,0,0,93,1,2022
89,uk,uk,uk,1642917600000.0,06.00,"रविवार 23 जनवरी 2022, 06.00 — 12.00",9,Fog.,14,14,1009,0,0,93,1,2022
90,uk,uk,uk,1642939200000.0,12.00,"रविवार 23 जनवरी 2022, 12.00 — 18.00",6,Partly sunny.,20,18,1009,2,320,60,1,2022
91,uk,uk,uk,1642960800000.0,18.00,"रविवार 23 जनवरी 2022, 18.00 — 00.00",14,Fog.,15,12,1013,0,0,85,1,2022
92,True,सोमवार 24 जनवरी,24 जनवरी,1642982400000.0,00.00,"सोमवार 24 जनवरी 2022, 00.00 — 06.00",14,Fog.,9,8,1013,0,0,92,1,2022
93,uk,uk,uk,1643004000000.0,06.00,"सोमवार 24 जनवरी 2022, 06.00 — 12.00",3,Haze.,16,10,1016,2,320,78,1,2022
94,uk,uk,uk,1643025600000.0,12.00,"सोमवार 24 जनवरी 2022, 12.00 — 18.00",6,Partly sunny.,18,17,1013,2,320,54,1,2022
95,uk,uk,uk,1643047200000.0,18.00,"सोमवार 24 जनवरी 2022, 18.00 — 00.00",14,Passing clouds.,13,11,1016,0,0,85,1,2022
96,True,मंगलवार 25 जनवरी,25 जनवरी,1643068800000.0,00.00,"मंगलवार 25 जनवरी 2022, 00.00 — 06.00",17,Overcast.,11,10,1015,0,0,91,1,2022
97,uk,uk,uk,1643090400000.0,06.00,"मंगलवार 25 जनवरी 2022, 06.00 — 12.00",9,Fog.,17,11,1016,2,320,68,1,2022
98,uk,uk,uk,1643112000000.0,12.00,"मंगलवार 25 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,19,16,1013,0,0,46,1,2022
99,uk,uk,uk,1643133600000.0,18.00,"मंगलवार 25 जनवरी 2022, 18.00 — 00.00",14,Fog.,14,12,1016,2,320,80,1,2022
100,True,बुधवार 26 जनवरी,26 जनवरी,1643155200000.0,00.00,"बुधवार 26 जनवरी 2022, 00.00 — 06.00",14,Fog.,11,9,1016,0,0,88,1,2022
101,uk,uk,uk,1643176800000.0,06.00,"बुधवार 26 जनवरी 2022, 06.00 — 12.00",9,Fog.,17,10,1017,3,320,72,1,2022
102,uk,uk,uk,1643198400000.0,12.00,"बुधवार 26 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,18,16,1015,6,230,56,1,2022
103,uk,uk,uk,1643220000000.0,18.00,"बुधवार 26 जनवरी 2022, 18.00 — 00.00",13,Clear.,11,10,1017,0,0,84,1,2022
104,True,गुरुवार 27 जनवरी,27 जनवरी,1643241600000.0,00.00,"गुरुवार 27 जनवरी 2022, 00.00 — 06.00",14,Fog.,8,7,1017,0,0,91,1,2022
105,uk,uk,uk,1643263200000.0,06.00,"गुरुवार 27 जनवरी 2022, 06.00 — 12.00",1,Sunny.,18,9,1018,2,320,70,1,2022
106,uk,uk,uk,1643284800000.0,12.00,"गुरुवार 27 जनवरी 2022, 12.00 — 18.00",2,Scattered clouds.,20,17,1016,2,320,46,1,2022
107,uk,uk,uk,1643306400000.0,18.00,"गुरुवार 27 जनवरी 2022, 18.00 — 00.00",13,Clear.,11,9,1018,0,0,86,1,2022
108,True,शुक्रवार 28 जनवरी,28 जनवरी,1643328000000.0,00.00,"शुक्रवार 28 जनवरी 2022, 00.00 — 06.00",14,Fog.,6,6,1017,0,0,91,1,2022
109,uk,uk,uk,1643349600000.0,06.00,"शुक्रवार 28 जनवरी 2022, 06.00 — 12.00",1,Sunny.,19,8,1019,2,320,57,1,2022
110,uk,uk,uk,1643371200000.0,12.00,"शुक्रवार 28 जनवरी 2022, 12.00 — 18.00",1,Sunny.,22,19,1016,2,270,28,1,2022
111,uk,uk,uk,1643392800000.0,18.00,"शुक्रवार 28 जनवरी 2022, 18.00 — 00.00",13,Clear.,11,8,1019,0,0,78,1,2022
112,True,शनिवार 29 जनवरी,29 जनवरी,1643414400000.0,00.00,"शनिवार 29 जनवरी 2022, 00.00 — 06.00",13,Clear.,6,6,1018,0,0,86,1,2022
113,uk,uk,uk,1643436000000.0,06.00,"शनिवार 29 जनवरी 2022, 06.00 — 12.00",1,Sunny.,22,8,1019,2,320,56,1,2022
114,uk,uk,uk,1643457600000.0,12.00,"शनिवार 29 जनवरी 2022, 12.00 — 18.00",1,Sunny.,24,21,1015,3,320,36,1,2022
115,uk,uk,uk,1643479200000.0,18.00,"शनिवार 29 जनवरी 2022, 18.00 — 00.00",13,Clear.,14,10,1017,0,0,81,1,2022
116,True,रविवार 30 जनवरी,30 जनवरी,1643500800000.0,00.00,"रविवार 30 जनवरी 2022, 00.00 — 06.00",13,Clear.,9,8,1015,0,0,90,1,2022
117,uk,uk,uk,1643522400000.0,06.00,"रविवार 30 जनवरी 2022, 06.00 — 12.00",1,Sunny.,22,10,1014,2,230,58,1,2022
118,uk,uk,uk,1643544000000.0,12.00,"रविवार 30 जनवरी 2022, 12.00 — 18.00",1,Sunny.,27,23,1009,6,270,26,1,2022
119,uk,uk,uk,1643565600000.0,18.00,"रविवार 30 जनवरी 2022, 18.00 — 00.00",13,Clear.,14,12,1012,0,0,72,1,2022
120,True,सोमवार 31 जनवरी,31 जनवरी,1643587200000.0,00.00,"सोमवार 31 जनवरी 2022, 00.00 — 06.00",13,Clear.,10,9,1011,0,0,86,1,2022
121,uk,uk,uk,1643608800000.0,06.00,"सोमवार 31 जनवरी 2022, 06.00 — 12.00",1,Sunny.,23,10,1013,0,0,63,1,2022
122,uk,uk,uk,1643630400000.0,12.00,"सोमवार 31 जनवरी 2022, 12.00 — 18.00",1,Sunny.,27,23,1010,0,0,39,1,2022
123,uk,uk,uk,1643652000000.0,18.00,"सोमवार 31 जनवरी 2022, 18.00 — 00.00",13,Clear.,16,14,1012,0,0,86,1,2022
