,day,month,year,temp_max,temp_min,atm_avg,hum_max,hum_min,date
0,1,1,2019,26,6,1020,96,48,1/1/2019
1,2,1,2019,24,8,1020,94,58,1/2/2019
2,3,1,2019,25,8,1021,94,54,1/3/2019
3,4,1,2019,23,8,1020,95,57,1/4/2019
4,5,1,2019,24,10,1018,88,54,1/5/2019
5,6,1,2019,20,9,1016,92,72,1/6/2019
6,7,1,2019,21,11,1019,92,66,1/7/2019
7,8,1,2019,22,9,1017,92,54,1/8/2019
8,9,1,2019,21,8,1018,97,52,1/9/2019
9,10,1,2019,23,6,1017,94,61,1/10/2019
10,11,1,2019,22,6,1018,97,53,1/11/2019
11,12,1,2019,22,7,1017,94,54,1/12/2019
12,13,1,2019,22,7,1019,94,62,1/13/2019
13,14,1,2019,22,8,1019,91,44,1/14/2019
14,15,1,2019,21,3,1019,92,45,1/15/2019
15,16,1,2019,24,5,1025,90,47,1/16/2019
16,17,1,2019,24,6,1017,96,45,1/17/2019
17,18,1,2019,23,7,1017,90,54,1/18/2019
18,19,1,2019,26,7,1017,94,50,1/19/2019
19,20,1,2019,28,9,1016,92,48,1/20/2019
20,21,1,2019,27,10,1012,94,52,1/21/2019
21,22,1,2019,22,15,1013,96,80,1/22/2019
22,23,1,2019,20,13,1016,96,48,1/23/2019
23,24,1,2019,19,13,1018,96,37,1/24/2019
24,25,1,2019,19,12,1019,88,73,1/25/2019
25,26,1,2019,18,10,1021,92,63,1/26/2019
26,27,1,2019,18,8,1022,82,52,1/27/2019
27,28,1,2019,20,6,766,91,43,1/28/2019
28,29,1,2019,20,6,893,90,42,1/29/2019
29,30,1,2019,22,5,1019,92,57,1/30/2019
30,31,1,2019,23,9,1017,88,46,1/31/2019
31,1,2,2019,23,10,1017,89,59,2/1/2019
32,2,2,2019,18,11,1018,95,78,2/2/2019
33,3,2,2019,22,10,1019,94,58,2/3/2019
34,4,2,2019,23,10,1020,95,60,2/4/2019
35,5,2,2019,21,13,1017,91,57,2/5/2019
36,6,2,2019,27,13,1012,96,66,2/6/2019
37,7,2,2019,24,14,1011,95,70,2/7/2019
38,8,2,2019,23,12,1015,78,37,2/8/2019
39,9,2,2019,21,10,1019,84,46,2/9/2019
40,10,2,2019,23,8,1020,90,43,2/10/2019
41,11,2,2019,23,8,1021,90,42,2/11/2019
42,12,2,2019,25,11,1020,88,43,2/12/2019
43,13,2,2019,26,11,1019,90,46,2/13/2019
44,14,2,2019,26,17,1014,89,62,2/14/2019
45,15,2,2019,25,15,1014,89,57,2/15/2019
46,16,2,2019,22,13,1017,91,44,2/16/2019
47,17,2,2019,24,11,1014,95,42,2/17/2019
48,18,2,2019,27,13,1010,83,49,2/18/2019
49,19,2,2019,29,16,1012,70,38,2/19/2019
50,20,2,2019,30,18,1016,82,47,2/20/2019
51,21,2,2019,32,18,1014,86,46,2/21/2019
52,22,2,2019,26,17,1015,88,62,2/22/2019
53,23,2,2019,25,13,1015,72,30,2/23/2019
54,24,2,2019,22,10,1012,86,56,2/24/2019
55,25,2,2019,26,11,1011,92,19,2/25/2019
56,26,2,2019,24,12,1010,82,51,2/26/2019
57,27,2,2019,22,11,1011,98,48,2/27/2019
58,28,2,2019,23,9,1015,95,32,2/28/2019
59,1,3,2019,24,10,1016,88,30,3/1/2019
60,2,3,2019,21,11,1015,86,64,3/2/2019
61,3,3,2019,23,13,1012,88,54,3/3/2019
62,4,3,2019,26,14,1008,95,54,3/4/2019
63,5,3,2019,26,15,1010,89,31,3/5/2019
64,6,3,2019,26,12,1011,90,30,3/6/2019
65,7,3,2019,28,12,1012,82,22,3/7/2019
66,8,3,2019,30,12,1013,74,24,3/8/2019
67,9,3,2019,29,16,1011,74,29,3/9/2019
68,10,3,2019,28,18,506,64,0,3/10/2019
69,11,3,2019,30,15,1012,70,32,3/11/2019
70,12,3,2019,30,18,1013,65,30,3/12/2019
71,13,3,2019,28,16,1015,68,28,3/13/2019
72,14,3,2019,30,16,1014,78,26,3/14/2019
73,15,3,2019,29,15,1016,74,31,3/15/2019
74,16,3,2019,28,14,1016,78,27,3/16/2019
75,17,3,2019,29,15,1014,73,28,3/17/2019
76,18,3,2019,31,14,1013,82,25,3/18/2019
77,19,3,2019,32,15,1010,74,26,3/19/2019
78,20,3,2019,35,19,1008,63,29,3/20/2019
79,21,3,2019,32,20,1010,66,31,3/21/2019
80,22,3,2019,32,19,1013,70,22,3/22/2019
81,23,3,2019,32,16,1013,66,20,3/23/2019
82,24,3,2019,35,17,1011,70,18,3/24/2019
83,25,3,2019,34,19,1010,64,29,3/25/2019
84,26,3,2019,32,20,1013,68,24,3/26/2019
85,27,3,2019,34,16,1014,70,22,3/27/2019
86,28,3,2019,37,18,885,65,22,3/28/2019
87,29,3,2019,40,21,1007,63,21,3/29/2019
88,30,3,2019,40,21,1006,66,22,3/30/2019
89,31,3,2019,36,23,1007,52,28,3/31/2019
90,1,4,2019,36,20,1008,42,16,4/1/2019
91,2,4,2019,38,19,1009,61,16,4/2/2019
92,3,4,2019,40,20,1007,52,16,4/3/2019
93,4,4,2019,40,21,1008,58,17,4/4/2019
94,5,4,2019,41,22,1006,56,19,4/5/2019
95,6,4,2019,41,28,754,42,0,4/6/2019
96,7,4,2019,39,25,1004,48,26,4/7/2019
97,8,4,2019,38,23,1006,76,28,4/8/2019
98,9,4,2019,40,23,1004,66,20,4/9/2019
99,10,4,2019,39,25,1006,64,26,4/10/2019
100,11,4,2019,40,25,1006,60,20,4/11/2019
101,12,4,2019,39,25,1006,60,22,4/12/2019
102,13,4,2019,41,25,1007,56,29,4/13/2019
103,14,4,2019,41,25,1007,61,20,4/14/2019
104,15,4,2019,41,24,1006,67,20,4/15/2019
105,16,4,2019,31,19,1011,81,38,4/16/2019
106,17,4,2019,31,19,1011,93,50,4/17/2019
107,18,4,2019,33,19,1010,88,46,4/18/2019
108,19,4,2019,33,21,1008,84,33,4/19/2019
109,20,4,2019,36,20,1006,76,28,4/20/2019
110,21,4,2019,38,20,1005,78,24,4/21/2019
111,22,4,2019,40,23,1004,58,18,4/22/2019
112,23,4,2019,41,24,1005,62,30,4/23/2019
113,24,4,2019,42,26,1006,63,18,4/24/2019
114,25,4,2019,42,27,1005,48,16,4/25/2019
115,26,4,2019,42,25,1005,50,22,4/26/2019
116,27,4,2019,42,28,1005,47,17,4/27/2019
117,28,4,2019,42,26,1004,46,20,4/28/2019
118,29,4,2019,43,25,1002,50,20,4/29/2019
119,30,4,2019,44,26,1000,47,16,4/30/2019
120,1,5,2019,42,29,999,36,15,5/1/2019
121,2,5,2019,42,26,999,44,15,5/2/2019
122,3,5,2019,37,29,1003,51,33,5/3/2019
123,4,5,2019,40,28,1005,47,22,5/4/2019
124,5,5,2019,41,26,1006,40,12,5/5/2019
125,6,5,2019,42,24,1004,37,12,5/6/2019
126,7,5,2019,43,25,1002,39,12,5/7/2019
127,8,5,2019,43,26,1002,46,12,5/8/2019
128,9,5,2019,42,32,1002,23,14,5/9/2019
129,10,5,2019,41,30,1002,43,16,5/10/2019
130,11,5,2019,40,28,1004,46,21,5/11/2019
131,12,5,2019,38,26,1004,50,29,5/12/2019
132,13,5,2019,42,26,1003,56,31,5/13/2019
133,14,5,2019,38,27,1004,51,29,5/14/2019
134,15,5,2019,41,25,1004,80,34,5/15/2019
135,16,5,2019,39,25,1005,66,26,5/16/2019
136,17,5,2019,39,27,1005,57,18,5/17/2019
137,18,5,2019,36,27,1005,49,30,5/18/2019
138,19,5,2019,40,24,1006,62,20,5/19/2019
139,20,5,2019,41,24,1006,56,15,5/20/2019
140,21,5,2019,43,27,1005,52,22,5/21/2019
141,22,5,2019,41,27,1002,65,27,5/22/2019
142,23,5,2019,42,26,1001,89,26,5/23/2019
143,24,5,2019,41,26,1002,82,30,5/24/2019
144,25,5,2019,40,28,1003,61,20,5/25/2019
145,26,5,2019,42,26,1001,62,18,5/26/2019
146,27,5,2019,43,27,1001,52,17,5/27/2019
147,28,5,2019,44,27,1001,55,15,5/28/2019
148,29,5,2019,45,27,999,48,16,5/29/2019
149,30,5,2019,47,28,998,44,14,5/30/2019
150,31,5,2019,45,33,998,40,19,5/31/2019
151,1,6,2019,46,30,998,46,20,6/1/2019
152,2,6,2019,46,31,997,50,18,6/2/2019
153,3,6,2019,43,33,998,56,26,6/3/2019
154,4,6,2019,44,32,998,54,26,6/4/2019
155,5,6,2019,45,31,998,58,24,6/5/2019
156,6,6,2019,47,31,998,58,18,6/6/2019
157,7,6,2019,44,31,1001,58,26,6/7/2019
158,8,6,2019,44,32,1000,58,21,6/8/2019
159,9,6,2019,47,26,997,56,16,6/9/2019
160,10,6,2019,47,30,994,50,17,6/10/2019
161,11,6,2019,47,32,994,44,22,6/11/2019
162,12,6,2019,38,33,997,54,46,6/12/2019
163,13,6,2019,37,28,999,81,50,6/13/2019
164,14,6,2019,43,30,997,68,33,6/14/2019
165,15,6,2019,42,32,997,57,34,6/15/2019
166,16,6,2019,35,27,999,92,48,6/16/2019
167,17,6,2019,36,29,999,74,56,6/17/2019
168,18,6,2019,35,28,1001,76,52,6/18/2019
169,19,6,2019,28,24,1001,96,82,6/19/2019
170,20,6,2019,33,24,1001,100,60,6/20/2019
171,21,6,2019,38,26,1000,90,44,6/21/2019
172,22,6,2019,39,28,999,81,50,6/22/2019
173,23,6,2019,37,28,999,74,48,6/23/2019
174,24,6,2019,38,28,1000,77,50,6/24/2019
175,25,6,2019,39,29,1000,86,42,6/25/2019
176,26,6,2019,37,28,999,86,50,6/26/2019
177,27,6,2019,41,32,995,60,44,6/27/2019
178,28,6,2019,41,31,995,62,35,6/28/2019
179,29,6,2019,41,32,994,52,30,6/29/2019
180,30,6,2019,39,26,996,72,49,6/30/2019
181,1,7,2019,39,28,996,75,42,7/1/2019
182,2,7,2019,37,26,996,96,49,7/2/2019
183,3,7,2019,34,27,997,95,66,7/3/2019
184,4,7,2019,33,28,995,92,72,7/4/2019
185,5,7,2019,31,25,994,96,90,7/5/2019
186,6,7,2019,31,26,746,95,0,7/6/2019
187,7,7,2019,34,26,994,98,68,7/7/2019
188,8,7,2019,33,27,996,90,79,7/8/2019
189,9,7,2019,30,25,996,98,87,7/9/2019
190,10,7,2019,34,27,994,90,65,7/10/2019
191,11,7,2019,34,29,996,70,60,7/11/2019
192,12,7,2019,36,29,998,70,53,7/12/2019
193,13,7,2019,35,29,999,68,56,7/13/2019
194,14,7,2019,36,29,997,66,45,7/14/2019
195,15,7,2019,36,30,997,66,47,7/15/2019
196,16,7,2019,36,30,999,64,46,7/16/2019
197,17,7,2019,37,29,1000,72,56,7/17/2019
198,18,7,2019,36,27,1000,77,56,7/18/2019
199,19,7,2019,36,28,1000,81,55,7/19/2019
200,20,7,2019,36,28,1000,81,56,7/20/2019
201,21,7,2019,38,28,1000,94,54,7/21/2019
202,22,7,2019,38,27,996,93,56,7/22/2019
203,23,7,2019,38,26,998,90,45,7/23/2019
204,24,7,2019,39,27,997,83,53,7/24/2019
205,25,7,2019,30,26,999,92,86,7/25/2019
206,26,7,2019,30,27,996,91,84,7/26/2019
207,27,7,2019,32,27,997,92,77,7/27/2019
208,28,7,2019,31,27,997,95,80,7/28/2019
209,29,7,2019,32,27,998,92,68,7/29/2019
210,30,7,2019,33,27,997,91,70,7/30/2019
211,31,7,2019,32,28,997,88,70,7/31/2019
212,1,8,2019,33,28,997,90,76,8/1/2019
213,2,8,2019,33,27,997,95,78,8/2/2019
214,3,8,2019,32,27,996,94,84,8/3/2019
215,4,8,2019,34,28,996,94,69,8/4/2019
216,5,8,2019,35,28,994,94,74,8/5/2019
217,6,8,2019,34,26,995,97,84,8/6/2019
218,7,8,2019,31,26,994,96,86,8/7/2019
219,8,8,2019,33,27,993,95,68,8/8/2019
220,9,8,2019,30,27,994,89,80,8/9/2019
221,10,8,2019,33,26,997,92,68,8/10/2019
222,11,8,2019,34,28,999,90,66,8/11/2019
223,12,8,2019,35,26,999,90,62,8/12/2019
224,13,8,2019,31,26,999,96,78,8/13/2019
225,14,8,2019,31,26,1000,98,80,8/14/2019
226,15,8,2019,28,25,997,95,84,8/15/2019
227,16,8,2019,29,25,997,98,80,8/16/2019
228,17,8,2019,28,26,1000,94,84,8/17/2019
229,18,8,2019,28,25,1003,93,88,8/18/2019
230,19,8,2019,33,26,1004,94,65,8/19/2019
231,20,8,2019,34,27,1003,85,64,8/20/2019
232,21,8,2019,34,27,1002,83,69,8/21/2019
233,22,8,2019,30,26,877,88,76,8/22/2019
234,23,8,2019,34,25,1002,94,61,8/23/2019
235,24,8,2019,32,25,1002,97,81,8/24/2019
236,25,8,2019,29,25,1002,98,94,8/25/2019
237,26,8,2019,32,26,1001,98,73,8/26/2019
238,27,8,2019,32,26,1000,96,78,8/27/2019
239,28,8,2019,33,26,1001,97,74,8/28/2019
240,29,8,2019,34,26,1003,94,76,8/29/2019
241,30,8,2019,34,26,1000,95,70,8/30/2019
242,31,8,2019,34,28,999,94,81,8/31/2019
243,1,9,2019,33,27,1000,90,74,9/1/2019
244,2,9,2019,34,26,1001,93,71,9/2/2019
245,3,9,2019,34,28,1000,92,66,9/3/2019
246,4,9,2019,33,28,999,94,78,9/4/2019
247,5,9,2019,34,27,998,95,72,9/5/2019
248,6,9,2019,33,28,1000,92,78,9/6/2019
249,7,9,2019,30,26,999,97,83,9/7/2019
250,8,9,2019,33,27,1000,96,82,9/8/2019
251,9,9,2019,32,27,999,96,84,9/9/2019
252,10,9,2019,35,27,998,92,71,9/10/2019
253,11,9,2019,36,28,1000,93,70,9/11/2019
254,12,9,2019,32,27,1002,92,82,9/12/2019
255,13,9,2019,31,26,751,96,0,9/13/2019
256,14,9,2019,30,26,752,94,0,9/14/2019
257,15,9,2019,29,26,1003,96,90,9/15/2019
258,16,9,2019,33,26,1002,97,74,9/16/2019
259,17,9,2019,34,26,1004,92,70,9/17/2019
260,18,9,2019,32,26,1007,93,72,9/18/2019
261,19,9,2019,28,25,1009,95,84,9/19/2019
262,20,9,2019,30,24,1008,95,82,9/20/2019
263,21,9,2019,33,24,1006,92,78,9/21/2019
264,22,9,2019,31,24,1008,93,76,9/22/2019
265,23,9,2019,25,23,1010,98,94,9/23/2019
266,24,9,2019,28,24,1009,96,88,9/24/2019
267,25,9,2019,29,24,1010,96,88,9/25/2019
268,26,9,2019,28,25,1010,96,84,9/26/2019
269,27,9,2019,30,24,1009,96,81,9/27/2019
270,28,9,2019,28,25,1007,93,86,9/28/2019
271,29,9,2019,30,25,1009,93,82,9/29/2019
272,30,9,2019,32,24,1008,93,82,9/30/2019
273,1,10,2019,29,25,1007,96,86,10/1/2019
274,2,10,2019,31,24,1008,95,77,10/2/2019
275,3,10,2019,32,23,1009,93,68,10/3/2019
276,4,10,2019,33,23,1009,90,71,10/4/2019
277,5,10,2019,32,23,1010,91,76,10/5/2019
278,6,10,2019,33,24,1010,89,66,10/6/2019
279,7,10,2019,32,23,1011,92,66,10/7/2019
280,8,10,2019,32,21,1011,89,58,10/8/2019
281,9,10,2019,33,22,1011,89,55,10/9/2019
282,10,10,2019,33,21,1010,90,55,10/10/2019
283,11,10,2019,33,22,1010,84,48,10/11/2019
284,12,10,2019,33,19,1012,86,50,10/12/2019
285,13,10,2019,34,20,1011,84,52,10/13/2019
286,14,10,2019,34,21,1012,86,50,10/14/2019
287,15,10,2019,33,20,1013,89,56,10/15/2019
288,16,10,2019,33,20,1013,88,55,10/16/2019
289,17,10,2019,33,20,1013,90,57,10/17/2019
290,18,10,2019,33,20,1013,88,56,10/18/2019
291,19,10,2019,31,21,1014,90,64,10/19/2019
292,20,10,2019,29,23,1014,90,68,10/20/2019
293,21,10,2019,30,20,1012,91,59,10/21/2019
294,22,10,2019,31,17,1010,88,48,10/22/2019
295,23,10,2019,32,16,1009,88,46,10/23/2019
296,24,10,2019,33,17,1010,85,44,10/24/2019
297,25,10,2019,31,17,1011,89,52,10/25/2019
298,26,10,2019,30,18,1013,88,56,10/26/2019
299,27,10,2019,29,18,1012,88,62,10/27/2019
300,28,10,2019,29,19,1013,88,68,10/28/2019
301,29,10,2019,31,19,1013,88,58,10/29/2019
302,30,10,2019,28,19,1013,88,71,10/30/2019
303,31,10,2019,22,18,506,88,0,10/31/2019
304,1,11,2019,33,17,1011,86,52,11/1/2019
305,2,11,2019,33,17,1012,90,54,11/2/2019
306,3,11,2019,26,21,1014,88,72,11/3/2019
307,4,11,2019,31,19,1014,90,58,11/4/2019
308,5,11,2019,31,18,1012,92,43,11/5/2019
309,6,11,2019,30,17,1010,84,53,11/6/2019
310,7,11,2019,29,18,1010,82,65,11/7/2019
311,8,11,2019,31,18,1012,88,46,11/8/2019
312,9,11,2019,31,17,1013,87,49,11/9/2019
313,10,11,2019,30,16,1013,85,48,11/10/2019
314,11,11,2019,30,15,1012,90,51,11/11/2019
315,12,11,2019,30,16,1013,88,56,11/12/2019
316,13,11,2019,30,17,1015,90,62,11/13/2019
317,14,11,2019,26,17,1016,86,63,11/14/2019
318,15,11,2019,29,16,1015,87,52,11/15/2019
319,16,11,2019,28,18,1015,84,52,11/16/2019
320,17,11,2019,29,18,1015,77,52,11/17/2019
321,18,11,2019,28,16,1015,90,54,11/18/2019
322,19,11,2019,27,14,1014,89,51,11/19/2019
323,20,11,2019,28,13,1011,91,50,11/20/2019
324,21,11,2019,28,14,1016,88,48,11/21/2019
325,22,11,2019,26,13,1016,87,58,11/22/2019
326,23,11,2019,28,13,1016,90,44,11/23/2019
327,24,11,2019,28,15,1015,92,54,11/24/2019
328,25,11,2019,26,16,1016,90,58,11/25/2019
329,26,11,2019,28,14,1015,89,54,11/26/2019
330,27,11,2019,28,15,1014,92,59,11/27/2019
331,28,11,2019,30,17,1014,93,60,11/28/2019
332,29,11,2019,24,17,1016,91,73,11/29/2019
333,30,11,2019,25,16,1016,93,67,11/30/2019
334,1,12,2019,24,15,1016,92,64,12/1/2019
335,2,12,2019,24,12,1017,92,52,12/2/2019
336,3,12,2019,25,9,1018,92,42,12/3/2019
337,4,12,2019,25,8,1019,94,42,12/4/2019
338,5,12,2019,23,9,1021,87,50,12/5/2019
339,6,12,2019,23,10,1020,92,58,12/6/2019
340,7,12,2019,23,13,1019,90,60,12/7/2019
341,8,12,2019,24,11,1019,93,61,12/8/2019
342,9,12,2019,23,11,1018,93,55,12/9/2019
343,10,12,2019,24,10,1016,92,56,12/10/2019
344,11,12,2019,24,11,1014,90,57,12/11/2019
345,12,12,2019,20,13,1012,91,78,12/12/2019
346,13,12,2019,23,14,1012,92,74,12/13/2019
347,14,12,2019,20,13,1019,94,76,12/14/2019
348,15,12,2019,21,12,1019,91,54,12/15/2019
349,16,12,2019,14,10,1020,94,86,12/16/2019
350,17,12,2019,15,6,1022,93,69,12/17/2019
351,18,12,2019,16,7,1020,90,64,12/18/2019
352,19,12,2019,16,6,1019,96,64,12/19/2019
353,20,12,2019,20,7,1016,93,60,12/20/2019
354,21,12,2019,22,9,1017,89,51,12/21/2019
355,22,12,2019,21,9,1018,96,48,12/22/2019
356,23,12,2019,21,7,1017,92,50,12/23/2019
357,24,12,2019,15,9,1019,92,74,12/24/2019
358,25,12,2019,16,8,1018,94,74,12/25/2019
359,26,12,2019,15,6,1018,94,62,12/26/2019
360,27,12,2019,14,4,1019,94,69,12/27/2019
361,28,12,2019,10,5,1020,96,86,12/28/2019
362,29,12,2019,12,4,1020,90,66,12/29/2019
363,30,12,2019,7,3,1020,96,86,12/30/2019
364,31,12,2019,11,6,1020,90,70,12/31/2019
365,1,1,2020,16,6,1021,94,72,1/1/2020
366,2,1,2020,20,8,1020,94,66,1/2/2020
367,3,1,2020,20,11,1017,93,70,1/3/2020
368,4,1,2020,19,11,1017,96,74,1/4/2020
369,5,1,2020,22,11,1018,95,56,1/5/2020
370,6,1,2020,24,9,1019,92,49,1/6/2020
371,7,1,2020,25,13,1015,88,41,1/7/2020
372,8,1,2020,19,14,1013,89,74,1/8/2020
373,9,1,2020,15,8,1020,90,68,1/9/2020
374,10,1,2020,18,7,1020,93,51,1/10/2020
375,11,1,2020,21,5,1020,92,40,1/11/2020
376,12,1,2020,23,6,1019,88,44,1/12/2020
377,13,1,2020,26,7,1012,92,50,1/13/2020
378,14,1,2020,18,12,1015,94,78,1/14/2020
379,15,1,2020,18,12,1016,94,81,1/15/2020
380,16,1,2020,16,15,887,96,93,1/16/2020
381,17,1,2020,19,11,889,93,74,1/17/2020
382,18,1,2020,16,9,1018,96,85,1/18/2020
383,19,1,2020,19,10,764,89,0,1/19/2020
